date,date_japanese_era,seq,municipality_class,ward_jp,park_class_jp,park_count,park_area_m2,tokyo_ward,municipality_class_en,park_class_en
2017-04-01,H29.4.1,19,区部,板橋区,都立,2.0,470816.2,Itabashi,Ward area,Metropolitan
2017-04-01,H29.4.1,20,区部,練馬区,都立,4.0,1059970.76,Nerima,Ward area,Metropolitan
2017-04-01,H29.4.1,21,区部,足立区,都立,3.0,911199.18,Adachi,Ward area,Metropolitan
2017-04-01,H29.4.1,22,区部,葛飾区,都立,1.0,928253.05,Katsushika,Ward area,Metropolitan
2017-04-01,H29.4.1,23,区部,江戸川区,都立,4.0,1344780.26,Edogawa,Ward area,Metropolitan
2017-04-01,H29.4.1,24,区部,その他　※1,都立,0.0,34759.95,,Ward area,Metropolitan
2017-04-01,H29.4.1,1,市部,八王子市,都立,5.0,1229836.49,,city ​​area,Metropolitan
2017-04-01,H29.4.1,2,市部,立川市,都立,0.0,32774.81,,city ​​area,Metropolitan
2017-04-01,H29.4.1,3,市部,武蔵野市,都立,1.0,409053.45,,city ​​area,Metropolitan
2017-04-01,H29.4.1,4,市部,三鷹市,都立,1.0,472969.89,,city ​​area,Metropolitan
2017-04-01,H29.4.1,6,市部,府中市,都立,3.0,489027.07,,city ​​area,Metropolitan
2017-04-01,H29.4.1,7,市部,昭島市,都立,0.0,13123.67,,city ​​area,Metropolitan
2017-04-01,H29.4.1,8,市部,調布市,都立,3.0,945328.84,,city ​​area,Metropolitan
2017-04-01,H29.4.1,9,市部,町田市,都立,3.0,984271.28,,city ​​area,Metropolitan
2017-04-01,H29.4.1,10,市部,小金井市,都立,1.0,727528.78,,city ​​area,Metropolitan
2017-04-01,H29.4.1,11,市部,小平市,都立,2.0,161062.31,,city ​​area,Metropolitan
2017-04-01,H29.4.1,12,市部,日野市,都立,1.0,601372.54,,city ​​area,Metropolitan
2017-04-01,H29.4.1,13,市部,東村山市,都立,3.0,653623.72,,city ​​area,Metropolitan
2017-04-01,H29.4.1,14,市部,国分寺市,都立,2.0,135732.02,,city ​​area,Metropolitan
2017-04-01,H29.4.1,16,市部,福生市,都立,0.0,498.14,,city ​​area,Metropolitan
2017-04-01,H29.4.1,18,市部,東大和市,都立,2.0,384618.38,,city ​​area,Metropolitan
2017-04-01,H29.4.1,20,市部,東久留米市,都立,1.0,50112.04,,city ​​area,Metropolitan
2017-04-01,H29.4.1,21,市部,武蔵村山市,都立,1.0,1009148.7,,city ​​area,Metropolitan
2017-04-01,H29.4.1,22,市部,多摩市,都立,1.0,339322.38,,city ​​area,Metropolitan
2017-04-01,H29.4.1,25,市部,あきる野市,都立,1.0,118447.07,,city ​​area,Metropolitan
2017-04-01,H29.4.1,26,市部,西東京市,都立,1.0,91174.63,,city ​​area,Metropolitan
2017-04-01,H29.4.1,1,郡部,瑞穂町,都立,1.0,1047011.99,,county,Metropolitan
2017-04-01,H29.4.1,9,島部,小笠原村,都立,1.0,153125.94,,island part,Metropolitan
2017-04-01,H29.4.1,1,区部,千代田区,区市町村,22.0,104909.27,Chiyoda,Ward area,Ward municipality
2017-04-01,H29.4.1,2,区部,中央区,区市町村,56.0,319419.11,Chuo,Ward area,Ward municipality
2017-04-01,H29.4.1,3,区部,港区,区市町村,47.0,266338.55,Minato,Ward area,Ward municipality
2017-04-01,H29.4.1,4,区部,新宿区,区市町村,176.0,359560.83,Shinjuku,Ward area,Ward municipality
2017-04-01,H29.4.1,5,区部,文京区,区市町村,45.0,203217.33,Bunkyo,Ward area,Ward municipality
2017-04-01,H29.4.1,6,区部,台東区,区市町村,50.0,193239.73,Taito,Ward area,Ward municipality
2017-04-01,H29.4.1,7,区部,墨田区,区市町村,141.0,639635.17,Sumida,Ward area,Ward municipality
2017-04-01,H29.4.1,8,区部,江東区,区市町村,167.0,1001364.4,Koto,Ward area,Ward municipality
2017-04-01,H29.4.1,9,区部,品川区,区市町村,148.0,518085.57,Shinagawa,Ward area,Ward municipality
2017-04-01,H29.4.1,10,区部,目黒区,区市町村,80.0,348440.93,Meguro,Ward area,Ward municipality
2017-04-01,H29.4.1,11,区部,大田区,区市町村,502.0,1992311.21,Ota,Ward area,Ward municipality
2017-04-01,H29.4.1,12,区部,世田谷区,区市町村,419.0,1607792.16,Setagaya,Ward area,Ward municipality
2017-04-01,H29.4.1,13,区部,渋谷区,区市町村,126.0,168634.68,Shibuya,Ward area,Ward municipality
2017-04-01,H29.4.1,14,区部,中野区,区市町村,164.0,420042.41,Nakano,Ward area,Ward municipality
2017-04-01,H29.4.1,15,区部,杉並区,区市町村,274.0,624425.31,Suginami,Ward area,Ward municipality
2017-04-01,H29.4.1,16,区部,豊島区,区市町村,88.0,181953.36,Toshima,Ward area,Ward municipality
2017-04-01,H29.4.1,17,区部,北区,区市町村,84.0,896372.14,Kita,Ward area,Ward municipality
2017-04-01,H29.4.1,18,区部,荒川区,区市町村,35.0,145982.42,Arakawa,Ward area,Ward municipality
2017-04-01,H29.4.1,19,区部,板橋区,区市町村,345.0,1421791.06,Itabashi,Ward area,Ward municipality
2017-04-01,H29.4.1,20,区部,練馬区,区市町村,456.0,944318.88,Nerima,Ward area,Ward municipality
2017-04-01,H29.4.1,21,区部,足立区,区市町村,342.0,2217101.76,Adachi,Ward area,Ward municipality
2017-04-01,H29.4.1,22,区部,葛飾区,区市町村,146.0,878483.87,Katsushika,Ward area,Ward municipality
2017-04-01,H29.4.1,23,区部,江戸川区,区市町村,316.0,2064564.23,Edogawa,Ward area,Ward municipality
2017-04-01,H29.4.1,1,市部,八王子市,区市町村,796.0,5636997.0,,city ​​area,Ward municipality
2017-04-01,H29.4.1,2,市部,立川市,区市町村,96.0,559455.85,,city ​​area,Ward municipality
2017-04-01,H29.4.1,3,市部,武蔵野市,区市町村,112.0,195607.0,,city ​​area,Ward municipality
2017-04-01,H29.4.1,4,市部,三鷹市,区市町村,38.0,125680.27,,city ​​area,Ward municipality
2017-04-01,H29.4.1,5,市部,青梅市,区市町村,101.0,600883.37,,city ​​area,Ward municipality
2017-04-01,H29.4.1,6,市部,府中市,区市町村,273.0,1298676.64,,city ​​area,Ward municipality
2017-04-01,H29.4.1,7,市部,昭島市,区市町村,40.0,475590.52,,city ​​area,Ward municipality
2017-04-01,H29.4.1,8,市部,調布市,区市町村,199.0,288748.27,,city ​​area,Ward municipality
2017-04-01,H29.4.1,9,市部,町田市,区市町村,710.0,3197732.78,,city ​​area,Ward municipality
2017-04-01,H29.4.1,10,市部,小金井市,区市町村,11.0,67784.0,,city ​​area,Ward municipality
2017-04-01,H29.4.1,11,市部,小平市,区市町村,307.0,349048.15,,city ​​area,Ward municipality
2017-04-01,H29.4.1,12,市部,日野市,区市町村,198.0,699443.0,,city ​​area,Ward municipality
2017-04-01,H29.4.1,13,市部,東村山市,区市町村,17.0,118902.81,,city ​​area,Ward municipality
2017-04-01,H29.4.1,14,市部,国分寺市,区市町村,13.0,83442.68,,city ​​area,Ward municipality
2017-04-01,H29.4.1,15,市部,国立市,区市町村,25.0,152374.75,,city ​​area,Ward municipality
2017-04-01,H29.4.1,16,市部,福生市,区市町村,55.0,401218.55,,city ​​area,Ward municipality
2017-04-01,H29.4.1,17,市部,狛江市,区市町村,27.0,106081.39,,city ​​area,Ward municipality
